source_zh	target_en	predicted_en	Error type - Single	Analysis
此外，他们还经受着有些人所想见的由于长期纷争所带来的疲惫。 现在有了几个月后可能出现的稳定苗头，现在正是时候准备增加为重建和发展所提供的国际援助以及人道主义援助。	Now that there are signs of possible stabilization in the months to come, it is time to start preparing for increased volumes of international reconstruction and development assistance, in addition to humanitarian aid.	Moreover, they are suffering from some of the fatigue that long-standing disputes bring, and now is the time to increase international assistance for reconstruction and development, as well as for humanitarian aid, in the months ahead.	Fluency Error	"The model translation is ""Moreover, they are suffering from some of the fatigue that long-standing disputes bring, and now is the time to increase international assistance for reconstruction and development, as well as for humanitarian aid, in the months ahead."" The model changes the sequence of ideas. The original says there are signs of stabilization coming, so now is the time to prepare for increased aid. The model just says now is the time to increase aid ""in the months ahead,"" losing the conditional ""now that there are signs of possible stabilization."" The model also removed the important context about preparing for increased volumes, making it sound like aid should increase immediately rather than preparing for future increases. The phrase ""some of the fatigue"" is vague compared to specifying what people expect to see. The correct translation should be ""Now that there are signs of possible stabilization in the months to come, it is time to start preparing for increased volumes of international reconstruction and development assistance, in addition to humanitarian aid."""
但其实他是统治者盖达尔·阿利耶夫（Heydar Aliyev）的姓，他的儿子伊尔汗（Ilham）在2003年继承父亲的衣钵担任总统至今。	But it was the name of the ruler, Heydar Aliyev, whose son, Ilham, succeeded him in 2003 and remains President to this day.	But it is the surname of the ruler, Heydar Aliyevs, whose son, Ilham, inherited the presidency in 2013, following in his father’s footsteps as he had done in his own career.	Named Entity Error	"The model translation is ""But it is the surname of the ruler, Heydar Aliyevs, whose son, Ilham, inherited the presidency in 2013, following in his father's footsteps as he had done in his own career."" The model changed ""Heydar Aliyev"" to the plural ""Heydar Aliyevs,"" which is grammatically incorrect - it's one person's surname. The model changed 2003 to 2013, which is factually wrong - Ilham Aliyev became president in 2003. The model also added confusing language ""following in his father's footsteps as he had done in his own career,"" which is redundant and unclear. The phrase ""remains President to this day"" was removed, losing the point that this succession led to continued rule. The correct translation should be ""But it was the name of the ruler, Heydar Aliyev, whose son, Ilham, succeeded him in 2003 and remains President to this day."""
我是在读了德芙拉·墨菲（Dervla Murphy）的《意外穿越西伯利亚 》 （ Through Siberia by Accident）一书后动了乘坐贝阿铁路的念头，尽管这位勇敢无畏的爱尔兰大妈曾经在该列火车上简陋的卫生间里滑了一跤，摔断了一条腿。	I was inspired to take the BAM across Siberia by Dervla Murphy’s book, Through Siberia by Accident, even though Murphy, an intrepid Irish grandmother, broke a leg slipping in the train car’s primitive toilet.	I was inspired to take the Trans-Siberian Railway after reading Dervla Murphey’s book Through SiBERIA by accident, despite the fact that the intrepid Irish grandmother broke her leg in the train’s ramshackle toilet, which she slipped on and fell into.	Named Entity Error	"The model translation is ""I was inspired to take the Trans-Siberian Railway after reading Dervla Murphey's book Through SiBERIA by accident, despite the fact that the intrepid Irish grandmother broke her leg in the train's ramshackle toilet, which she slipped on and fell into."" The model changed ""BAM across Siberia"" (Baikal-Amur Mainline) to ""Trans-Siberian Railway,"" which is a different railway route. The model has unusual capitalization ""SiBERIA"" which looks like an error. The model changed ""Murphy"" to ""Murphey"" (incorrect spelling). The phrase ""which she slipped on and fell into"" is awkwardly phrased - you don't fall into a toilet by slipping on it. The original says she ""broke a leg slipping in the train car's primitive toilet,"" which is clearer. The model also changes the book title formatting. The correct translation should be ""I was inspired to take the BAM across Siberia by Dervla Murphy's book, Through Siberia by Accident, even though Murphy, an intrepid Irish grandmother, broke a leg slipping in the train car's primitive toilet."""
2011和2012年的经济发展都被在我们家门口的欧元区危机，以及由我国金融系统危机所导致的持续性破坏所拖累。	The eurozone crisis on our doorstep, and the lingering damage inflicted by the crash of our financial system, dragged down economic growth in 2011 and 2012.	Economic development in 2101 and 2202 will be dragged down by the eurozone crisis at our doorstep, and by the ongoing disruptions caused by our own financial system’s crisis.	Named Entity Error	"The model translation is ""Economic development in 2101 and 2202 will be dragged down by the eurozone crisis at our doorstep, and by the ongoing disruptions caused by our own financial system's crisis."" The years are completely wrong - the model wrote ""2101 and 2202"" instead of ""2011 and 2012,"" which are hundreds of years in the future. The model also changed the tense to future (""will be"") when it should be past tense, and added ""our own"" which isn't in the source. The correct translation should be ""The eurozone crisis on our doorstep, and the lingering damage inflicted by the crash of our financial system, dragged down economic growth in 2011 and 2012."""
尽管珍珠港事件和最近伊斯兰恐怖主义伎俩有明显的不同，但是它们都显现出在一场实力对比悬殊的战斗中鱼死网破的愿望。	Despite obvious differences between Pearl Harbor and recent Islamist terrorist tactics, they show the common desire of self-proclaimed Davids to topple their Goliaths in a clearly lop-sided battle.	Though the Pearl Harbor attack and recent Islamic terrorism have obvious differences, they both reflect a desire to break the deadlock in a struggle of unequal forces.	Semantic Error	"The model translation is ""Though the Pearl Harbor attack and recent Islamic terrorism have obvious differences, they both reflect a desire to break the deadlock in a struggle of unequal forces."" The phrase ""break the deadlock"" misses the original meaning of desperate self-destructive determination. The source conveys the idea of underdogs willing to die taking down their opponents (like David vs Goliath), but ""break the deadlock"" just means ending a stalemate. The model also lost the biblical David-Goliath metaphor that makes the meaning clearer. The correct translation should be ""Despite obvious differences between Pearl Harbor and recent Islamist terrorist tactics, they show the common desire of self-proclaimed Davids to topple their Goliaths in a clearly lop-sided battle."""
为了遏制M2 — — 该指标表明中国经济有杠杆过高之嫌 — — 中国人民银行收紧了商业银行贷款标准，因此，对于任何给定的M2增量，信用增量下降了。	In an attempt to rein in M2, which could indicate that the economy is overleveraged, the central bank tightened conditions for commercial bank lending, so that, for any given increase in M2, less credit is extended.	In order to rein in M2 – a measure of China’s allegedly over-leveraged economy – the PBOC tightened lending standards for commercial banks, so that the credit increase fell short of the M2 increase for any given increase.	Incomplete Translation	"The model translation is ""In order to rein in M2 – a measure of China's allegedly over-leveraged economy – the PBOC tightened lending standards for commercial banks, so that the credit increase fell short of the M2 increase for any given increase."" This sentence ends awkwardly with ""for any given increase"" which doesn't complete the thought properly. The ending should specify ""for any given increase in M2, less credit is extended."" The model also made it sound like M2 itself is a measure of the over-leveraged economy, when it's actually an indicator that suggests over-leveraging. The correct translation should be ""In an attempt to rein in M2, which could indicate that the economy is overleveraged, the central bank tightened conditions for commercial bank lending, so that, for any given increase in M2, less credit is extended."""
保守党人很可能在大卫·卡梅隆这个年轻领袖的领导下夺得胜利，因为卡梅隆令全党的政治立场重新回归到了中间路线，而走这个路线的政党常常能赢得竞选胜利。 而布郎率领的工党则不受欢迎，因为经济深陷泥沼且人们普遍认为该党已经黔驴技穷了。	The Conservatives should triumph under a young leader, David Cameron, who has hauled them back onto the middle ground of politics where elections are usually won.	The Conservatives are likely to win under the leadership of the young David Cameron, who has moved the party back to the center of the political spectrum, where parties tend to do well, while Brown’s Labour is unpopular because the economy is in a mess and people think it has run out of ideas.	Omission/Addition Error	"The model translation is ""The Conservatives are likely to win under the leadership of the young David Cameron, who has moved the party back to the center of the political spectrum, where parties tend to do well, while Brown's Labour is unpopular because the economy is in a mess and people think it has run out of ideas."" The model adds extensive content about Brown's Labour Party being unpopular and the economy being in a mess, which isn't in the source text at all. The source only mentions that Labour is unpopular, the economy is struggling, and people think the party has exhausted its ideas - but the model expanded this far beyond what was stated. The correct translation should be ""The Conservatives should triumph under a young leader, David Cameron, who has hauled them back onto the middle ground of politics where elections are usually won."""
勿庸置疑，几乎没有研究1978年文革余烬、以及1989年后表面上看去是一片废墟的观察人士认为中国将擎起世界发展希望的火炬。	Certainly, few observers looking in 1978 at the smoldering embers of the Cultural Revolution, or at the seeming ruination of the post-1989 years, thought China would emerge as the lightning rod of the world’s developmental hopes.	To be sure, few observers who studied the aftermath of the Cultural Revolution of 1966-76, and the apparent rubble of the post-1990 era, expected China to take up the mantle of hope for the world’s development.	Named Entity Error	"The model translation is ""To be sure, few observers who studied the aftermath of the Cultural Revolution of 1966-76, and the apparent rubble of the post-1990 era, expected China to take up the mantle of hope for the world's development."" The model changed ""1978"" to ""1966-76"" and ""post-1989"" to ""post-1990 era,"" getting the dates wrong. More importantly, the source talks about observers ""looking at"" the situation in specific years (1978 and post-1989), not observers who ""studied the aftermath."" The model also changed ""smoldering embers"" to ""aftermath"" and ""seeming ruination"" to ""apparent rubble,"" losing the vivid imagery. The correct translation should be ""Certainly, few observers looking in 1978 at the smoldering embers of the Cultural Revolution, or at the seeming ruination of the post-1989 years, thought China would emerge as the lightning rod of the world's developmental hopes."""
因此，当美联储前主席伯南克（Ben Bernanke）指责“储蓄盈余”国导致美国货币失控时，他是有一定的道理 — — 至少在贸易流方面与统计数字相符。	So when former US Federal Reserve Chair Ben Bernanke blamed the loss of monetary control in the US on the “surplus saving” countries, he had a point – at least with regard to trade flows.	Thus, when former US Federal Reserve Chairman Ben BernanKE accuses “savings-surplus” countries of destabilizing the US dollar, he has a point – at least when it comes to trade flows, if not the statistics.	Named Entity Error	"The model translation is ""Thus, when former US Federal Reserve Chairman Ben BernanKE accuses 'savings-surplus' countries of destabilizing the US dollar, he has a point – at least when it comes to trade flows, if not the statistics."" The name is misspelled as ""BernanKE"" instead of ""Bernanke."" The model also changed the meaning - the source says Bernanke blamed savings-surplus countries for causing ""loss of monetary control,"" but the model says he accused them of ""destabilizing the US dollar,"" which is different. Additionally, the phrase ""if not the statistics"" doesn't match the source which says ""at least with regard to trade flows."" The correct translation should be ""So when former US Federal Reserve Chair Ben Bernanke blamed the loss of monetary control in the US on the 'surplus saving' countries, he had a point – at least with regard to trade flows."""
一个板块的核心是美国及其完成跨太平洋合作伙伴关系 (TPP)和跨大西洋贸易与投资合作伙伴关系 (TTIP)的宏大目标。	One centers on the US and its ambition to conclude the Trans-Pacific Partnership (TPP) and the Transatlantic Trade and Investment Partnership (TTIP).	At the heart of one bloc is the United States and its ambitious goal of completing the Trans-Pacific Partnership (TPП) and the Transatlantic Trade and Investment Partnerships (TTИP).	Named Entity Error	"The model translation is ""At the heart of one bloc is the United States and its ambitious goal of completing the Trans-Pacific Partnership (TPП) and the Transatlantic Trade and Investment Partnerships (TTИP)."" The acronyms are written with Cyrillic characters - ""TPП"" and ""TTИP"" instead of the correct Latin letters ""TPP"" and ""TTIP."" The model also made ""Partnership"" plural in TTIP (""Partnerships"") when it should be singular. These naming errors would confuse readers looking for these well-known trade agreements. The correct translation should be ""One centers on the US and its ambition to conclude the Trans-Pacific Partnership (TPP) and the Transatlantic Trade and Investment Partnership (TTIP)."""
这座达达主义的狂放首都是自由和实用主义巨大的熔炉，贫困和富贵、诱惑和虚弱时刻创造和再造着纽约生活充满活力、独一无二的光谱。	This festively incoherent capital of Dada is a spectacular fusion of freedom and pragmatism. Misery and magnificence, seduction and neurosis create and recreate the dynamic, unmistakable spectrum of New York life.	New York, the capital of hedonism, is a great melting pot of liberalism and pragmatism, where poverty and wealth, temptation and weakness, create and recreate the vibrant and unique spectrum of New York life.	Lexical Error	"The model translation is ""New York, the capital of hedonism, is a great melting pot of liberalism and pragmatism, where poverty and wealth, temptation and weakness, create and recreate the vibrant and unique spectrum of New York life."" The model translated the description as ""capital of hedonism"" when the source describes New York as the ""Dada capital"" - these convey completely different meanings. Dada refers to an artistic movement emphasizing chaos and absurdity, while hedonism means pursuit of pleasure. The model also lost the phrase ""festively incoherent"" which captures Dada's spirit, and changed ""seduction and neurosis"" to ""temptation and weakness,"" weakening the psychological complexity. The correct translation should be ""This festively incoherent capital of Dada is a spectacular fusion of freedom and pragmatism. Misery and magnificence, seduction and neurosis create and recreate the dynamic, unmistakable spectrum of New York life."""
第二个办法是全球变暖危机的现实方案，能够避免第一个办法的道德陷阱（其中包括让舒适宜人陷入贫困 ） 。	The second approach offers a real-world solution to the global warming crisis that avoids the moral pitfalls of the first (which include leaving billions of people trapped in poverty).	The second option is a realistic solution to the global warming crisis that avoids the moral traps of the first (including the impoverishment of the comfortable).	Semantic Error	"The model translation is ""The second option is a realistic solution to the global warming crisis that avoids the moral traps of the first (including the impoverishment of the comfortable)."" The phrase ""impoverishment of the comfortable"" completely misses the point. The source warns about the moral trap of ""leaving billions trapped in poverty,"" meaning keeping poor people poor, but the model makes it sound like the concern is making comfortable people less comfortable. This reverses who the moral concern is about - it should be about the poor, not the rich. The correct translation should be ""The second approach offers a real-world solution to the global warming crisis that avoids the moral pitfalls of the first (which include leaving billions of people trapped in poverty)."""
加入欧元区和牛市收敛交易（ convergence trade ，利用息差收敛趋势套利的交易 — — 译者）把这些国家的债券收益推高到德国债券的水平，从而催生了信贷繁荣，支持了这些国家的消费过度增长。	Euro accession and bull-market “convergence trades” pushed bond yields in these countries toward the level of German bunds, with the ensuing credit boom supporting excessive consumption growth.	Joining the eurozone and convergence trades (trades that exploit interest-rate differentials to push up yields on these countries’ bonds to the level of German bonds, thereby fueling a credit boom that supports their excessive consumption growth) fueled a consumption boom.	Fluency Error	"The model translation is ""Joining the eurozone and convergence trades (trades that exploit interest-rate differentials to push up yields on these countries' bonds to the level of German bonds, thereby fueling a credit boom that supports their excessive consumption growth) fueled a consumption boom."" This sentence is awkward because it defines convergence trades in the middle of the sentence with a long parenthetical explanation, then says ""fueled a consumption boom"" at the end, making readers forget what the subject was. The model also says ""fueled a consumption boom"" when the source talks about ""supporting excessive consumption growth,"" which is slightly different. The correct translation should be ""Euro accession and bull-market 'convergence trades' pushed bond yields in these countries toward the level of German bunds, with the ensuing credit boom supporting excessive consumption growth."""
相对大家比较熟悉的四大一线城市，这33个高收入先锋城市的发展经验不仅更令人瞩目，而且对中国未来发展可以提供更有价值的洞见。	Urbanization in these high-income cities may provide more valuable insight into how to continue China’s remarkable development story than the experiences of the first-tier cities.	The experience of these 33 high-income forerunners is not only more interesting than that of the better-known four first-tier cities, but also provides a more valuable glimpse into China’s future.	Lexical Error	"The model translation is ""The experience of these 33 high-income forerunners is not only more interesting than that of the better-known four first-tier cities, but also provides a more valuable glimpse into China's future."" The model used ""interesting"" and ""glimpse"" which downplay the significance. The source emphasizes these cities' experiences are more ""remarkable/noteworthy"" and provide ""insight"" (deeper understanding) rather than just a ""glimpse"" (brief look). The phrase ""may provide more valuable insight"" also became ""provides a more valuable glimpse,"" losing the conditional aspect and the depth of ""insight."" The correct translation should be ""Urbanization in these high-income cities may provide more valuable insight into how to continue China's remarkable development story than the experiences of the first-tier cities."""
他们的多数优势也许很较微弱，但在选举中，主要中右翼和中左翼政党只控制了33%的席位，这表示现状被彻底否定。	Their majorities may be slim, but the election, in which the main center-right and center-left parties eked out just 33%, was a resounding repudiation of the status quo.	Their plurality may be small, but the fact that only 33%, mainly center-right and center-left parties, are represented in parliament is a rejection of the status quo.	Semantic Error	"The model translation is ""Their plurality may be small, but the fact that only 33%, mainly center-right and center-left parties, are represented in parliament is a rejection of the status quo."" This completely misunderstands the election results. The source says the main center-right and center-left parties together only got 33% of votes, showing voters rejected them. But the model makes it sound like these parties control parliament, just with a small plurality. The model also says ""are represented in parliament"" when the issue is about vote share, not parliamentary representation. The correct translation should be ""Their majorities may be slim, but the election, in which the main center-right and center-left parties eked out just 33%, was a resounding repudiation of the status quo."""
"计划经济的元老陈云曾警告说中国的改革者们缔造了一种""鸟笼经济 "" ， 即资本主义的鸟成长在社会主义的笼里。"	"The old state planner Chen Yuan once cautioned that Chinese reformers had created ""a birdcage economy"" in which a capitalist bird was growing within a socialist cage."	"Zhou Enlai, an elder statesman of the planned economy, once warned China's reformers that they were creating a ""cage economy,"" in which capitalist birds would grow in a socialist cage."	Named Entity Error	"The model translation is ""Zhou Enlai, an elder statesman of the planned economy, once warned China's reformers that they were creating a 'cage economy,' in which capitalist birds would grow in a socialist cage."" The model completely changed the person from Chen Yuan to Zhou Enlai - these are different historical figures. Zhou Enlai was a premier who died in 1976, while Chen Yuan was involved in later reform debates. The model also changed ""cautioned"" to ""warned"" and lost the nuance that reformers had already ""created"" this situation rather than were in the process of creating it. The correct translation should be ""The old state planner Chen Yuan once cautioned that Chinese reformers had created 'a birdcage economy' in which a capitalist bird was growing within a socialist cage."""
事实上，身为父亲的李光耀一直没有离开政界，先是身为“资政”而后又担任导师，其���的能力已经在一系列显要位置上公开得到了证明。	Indeed, the father would remain on the scene, first as “Senior Minister” and then in his mentor role, and had made his son prove his abilities openly in a series of prominent positions.	Indeed, Lee, the father, never left politics, first as a “wise man” and then as a mentor, and his competence was amply demonstrated in a variety of high-profile positions.	Semantic Error	"The model translation is ""Indeed, Lee, the father, never left politics, first as a 'wise man' and then as a mentor, and his competence was amply demonstrated in a variety of high-profile positions."" The model says Lee's competence was demonstrated, but the source is about Lee Kuan Yew making his son prove his abilities openly. The sentence structure confuses whose abilities are being proven. The model also changed ""Senior Minister"" (an actual title) to ""wise man"" which is less precise, and added ""his competence was amply demonstrated"" which shifts focus from the son proving himself to the father's competence. The correct translation should be ""Indeed, the father would remain on the scene, first as 'Senior Minister' and then in his mentor role, and had made his son prove his abilities openly in a series of prominent positions."""
这一措施可能在未来激起反对，但巴黎银行事件却是在政策制定者满脑子都想着如何实施有效制裁的时候浮出水面 — — 同时也可以猜测，检察官脑子里也有类似的想法。	The effort might induce a financial backlash in the future, but BNP’s problems emerged when effective sanctions were at the forefront of policymakers’ minds – and, one suspects, not absent from prosecutors’ minds.	While such measures may be unpopular in the future, the BNP Paribas case emerged at a time when policymakers were grappling with how to implement effective sanctions – and one can only speculate that prosecutors were thinking along the same lines.	Fluency Error	"The model translation is ""While such measures may be unpopular in the future, the BNP Paribas case emerged at a time when policymakers were grappling with how to implement effective sanctions – and one can only speculate that prosecutors were thinking along the same lines."" The phrase ""While such measures may be unpopular"" is awkward because it suggests opposition to the measures, but the source talks about potential ""financial backlash"" which is a different concern. The model also changed ""induce a financial backlash"" to ""be unpopular"" which weakens the economic impact. The phrase ""one suspects"" became ""one can only speculate"" which sounds more uncertain than the original. The correct translation should be ""The effort might induce a financial backlash in the future, but BNP's problems emerged when effective sanctions were at the forefront of policymakers' minds – and, one suspects, not absent from prosecutors' minds."""
我在主持英国监管机构 — — 金融服务局（Financial Service Authority）时相信，律师只能做事而不能指挥做事。	When I chaired the United Kingdom’s regulatory body, the Financial Services Authority, I believed in the idea that lawyers should be on tap, not on top.	As the head of the United Kingdom’s financial regulator, the Financial Services Authority, I believed that lawyers could only do, not direct.	Lexical Error	"The model translation is ""As the head of the United Kingdom's financial regulator, the Financial Services Authority, I believed that lawyers could only do, not direct."" The phrase ""could only do, not direct"" is confusing and unclear. The source uses the idiomatic expression ""on tap, not on top"" which means lawyers should be available for advice but not in charge of decision-making. The model's version ""could only do, not direct"" loses this clear meaning and sounds like lawyers lack the ability to direct rather than that they shouldn't be in charge. The correct translation should be ""When I chaired the United Kingdom's regulatory body, the Financial Services Authority, I believed in the idea that lawyers should be on tap, not on top."""
正如安娜·凯斯（Anne Case）和安格斯·迪顿（Angus Deaton）的一项研究表明：美国大部分人口的预期寿命都在下降，包括所谓北部老工业区的愤怒居民们。	These results were foreshadowed by a study last year, by Anne Case and Angus Deaton, which showed that life expectancy was on the decline for large segments of the population – including America’s so-called angry men of the Rust Belt.	As a study by Anne Case and AngusDeaton shows, life expectancy is falling for most of the US population, including the disaffected residents of the so-called Rust Belt in the north of the country.	Named Entity Error	"The model translation is ""As a study by Anne Case and AngusDeaton shows, life expectancy is falling for most of the US population, including the disaffected residents of the so-called Rust Belt in the north of the country."" The name is misspelled as ""AngusDeaton"" (no space) instead of ""Angus Deaton."" The model also adds ""in the north of the country"" which unnecessarily specifies the Rust Belt's location - this is common knowledge and wasn't in the source. More importantly, the model removed the context that this study ""foreshadowed"" the election results mentioned in the reference, losing the temporal connection. The correct translation should be ""These results were foreshadowed by a study last year, by Anne Case and Angus Deaton, which showed that life expectancy was on the decline for large segments of the population – including America's so-called angry men of the Rust Belt."""
于是在1992年，7岁的邬金钦列多杰在中国的帮助下成为17世噶玛巴，于楚布寺（历代噶玛巴的住所，在文化大革命中几乎全毁）升殿。	Thus, in 1992, China helped select the seven-year-old Ogyen Trinley Dorje as the 17th Karmapa Lama, installing him at Tibet’s Tsurphu monastery – the Karmapas’ ancestral abode, which was almost destroyed during the Cultural Revolution.	Thus, in 1922, at the age of seven, Thubten Gyatso became the 13th Dalai Lama with the help of the Chinese, and was enthroned in the Potala Palace (the Dalai Lamas’ residence since the seventeenth century, almost destroyed during the Cultural Revolution).	Named Entity Error	"The model translation is ""Thus, in 1922, at the age of seven, Thubten Gyatso became the 13th Dalai Lama with the help of the Chinese, and was enthroned in the Potala Palace (the Dalai Lamas' residence since the seventeenth century, almost destroyed during the Cultural Revolution)."" This gets almost everything wrong. The year should be 1992 not 1922, the person is Ogyen Trinley Dorje not Thubten Gyatso, he's the 17th Karmapa Lama not the 13th Dalai Lama, and the location is Tsurphu monastery not Potala Palace. These are completely different Buddhist figures and lineages. The model essentially replaced the entire story with information about a different person from a different time. The correct translation should be ""Thus, in 1992, China helped select the seven-year-old Ogyen Trinley Dorje as the 17th Karmapa Lama, installing him at Tibet's Tsurphu monastery – the Karmapas' ancestral abode, which was almost destroyed during the Cultural Revolution."""
从流言判断，习近平应该扪心自问在邓小平改革基础上倒退的是否明智，无视江泽民和胡锦涛等中共前领导人树立的先例是否明智。	Judging by the rumors, Xi should be asking himself if it was wise to roll back Deng Xiaoping’s reforms, and to ignore the precedents set by former CPC leaders such as Jiang Zemin and Hu Jintao.	Judging by the rumors, Xi should have asked himself whether it was wise to retreat from Deng Xiaoping’s reformist legacy, ignoring the precedent set by previous CCP leaders, such as Jiang Zemin and Hu Jintao, to do so.	Grammatical Error	"The model translation is ""Judging by the rumors, Xi should have asked himself whether it was wise to retreat from Deng Xiaoping's reformist legacy, ignoring the precedent set by previous CCP leaders, such as Jiang Zemin and Hu Jintao, to do so."" The phrase ""to do so"" at the end is grammatically problematic and creates confusion about what it refers to. The model also changed ""should be asking"" (present continuous, suggesting ongoing self-reflection) to ""should have asked"" (past perfect, suggesting a missed opportunity), which changes the temporal meaning. The structure ""ignoring the precedent...to do so"" is also awkward and unclear. The correct translation should be ""Judging by the rumors, Xi should be asking himself if it was wise to roll back Deng Xiaoping's reforms, and to ignore the precedents set by former CPC leaders such as Jiang Zemin and Hu Jintao."""
此外，美联储主席耶伦声称在任何利率“升空”发生前，FOMC至少还要开好几次会议，而美联储似乎也在暗示拖延政策正常化进程。	Add to that Fed Chair Janet Yellen’s declaration that at least a couple more FOMC meetings would need to take place before any such “lift-off” occurs, and the Fed seems to be telegraphing a protracted journey on the road to policy normalization.	Moreover, Fed Chair Janet Yellen has said that the FOMC will meet at least a few more times before any “lift-off” in interest rates, and the Fed seems to be signaling a delay in the normalization process.	Lexical Error	"The model translation is ""Moreover, Fed Chair Janet Yellen has said that the FOMC will meet at least a few more times before any 'lift-off' in interest rates, and the Fed seems to be signaling a delay in the normalization process."" The model changed ""declaration"" to ""has said"" which is less forceful, and changed ""at least a couple more FOMC meetings would need to take place"" to ""the FOMC will meet at least a few more times,"" losing the sense of necessity (""would need""). More significantly, ""seems to be signaling a delay"" misses the stronger imagery of ""telegraphing a protracted journey"" - the source emphasizes the Fed is clearly communicating a long process, not just hinting at a delay. The correct translation should be ""Add to that Fed Chair Janet Yellen's declaration that at least a couple more FOMC meetings would need to take place before any such 'lift-off' occurs, and the Fed seems to be telegraphing a protracted journey on the road to policy normalization."""
但是，如果如（据说是）马克·吐温所观察到的，历史总是重复而不是复制自己，那么过去的记忆应该指引而不是绑架东欧。	But if, as Mark Twain supposedly observed, history rhymes rather than repeating itself, the memory of the past should guide Eastern Europe, not take it hostage.	But, if, as Mark Twain supposedly observed, history repeats itself, but never in the same way, the memory of the past should guide, rather than imprison, Eastern Europe.	Lexical Error	"The model translation is ""But, if, as Mark Twain supposedly observed, history repeats itself, but never in the same way, the memory of the past should guide, rather than imprison, Eastern Europe."" The model changed ""rhymes rather than repeating itself"" to ""repeats itself, but never in the same way."" The famous Twain quote is about history rhyming, not repeating - the whole point is that history doesn't repeat but creates similar patterns (rhymes). By saying history ""repeats...but never in the same way,"" the model creates a logical contradiction. The model also changed ""take it hostage"" to ""imprison"" which, while similar, loses the violent imagery of being held hostage. The correct translation should be ""But if, as Mark Twain supposedly observed, history rhymes rather than repeating itself, the memory of the past should guide Eastern Europe, not take it hostage."""
由于印度人民普遍希望地区和平和宗教和解，这样一来，代表印度教的人民党的失败也不足为奇了。 对国大党来说，来自右派势力的威胁也已解除。	As for the threat from the right, anyone hoping for peace in the region and reduced tensions within India between religious communities is relieved by the defeat of the Hindu nationalist Bharatiya Janata Party (BJP).	The defeat of the BJP, which represented the Hindu majority, was not surprising, given the widespread desire for regional peace and religious reconciliation in India. For the Congress Party, the threat from the right had been removed.	Omission/Addition Error	"The model translation is ""The defeat of the BJP, which represented the Hindu majority, was not surprising, given the widespread desire for regional peace and religious reconciliation in India. For the Congress Party, the threat from the right had been removed."" The model adds that the BJP ""represented the Hindu majority"" which isn't stated in the source. More importantly, the model reorganizes the logic - the source presents BJP's defeat as relieving for those hoping for peace, but the model makes it sound like the defeat happened because people wanted peace. The model also adds ""For the Congress Party"" when the source says ""As for the threat from the right,"" shifting the perspective. The correct translation should be ""As for the threat from the right, anyone hoping for peace in the region and reduced tensions within India between religious communities is relieved by the defeat of the Hindu nationalist Bharatiya Janata Party (BJP)."""
在阿以冲突漫长的血泪史上，也许除阿里埃勒·沙龙之外，最令巴勒斯坦人痛恨的以色列总理非内塔尼亚胡莫属。	In the Arab-Israeli conflict’s long, tortured history, they have reviled no Israeli prime minister – with the possible exception of Ariel Sharon – more than Netanyahu.	In the long and bloody history of the Israeli-Palestinian conflict, perhaps only Ariel Sharon is more despised by Palestinians than Israeli Prime Minister Binyamin Netanyahu.	Lexical Error	"The model translation is ""In the long and bloody history of the Israeli-Palestinian conflict, perhaps only Ariel Sharon is more despised by Palestinians than Israeli Prime Minister Binyamin Netanyahu."" The model changed ""reviled"" to ""despised"" which is similar but less strong. More significantly, the model changed the comparison structure - the source says Netanyahu is the most reviled ""with the possible exception of Ariel Sharon,"" meaning Netanyahu might be #1 or tied with Sharon. But the model says ""only Ariel Sharon is more despised than...Netanyahu,"" which definitively puts Sharon above Netanyahu. This reverses the ranking. The correct translation should be ""In the Arab-Israeli conflict's long, tortured history, they have reviled no Israeli prime minister – with the possible exception of Ariel Sharon – more than Netanyahu."""
在这本账本的收入方面，我们看到奥巴马受到了一场其他外国元首，即使连到访的往届美国总统都不常有的隆重接待，显示出中国政府对本次访问的极端重视。	On the positive side of the ledger, Obama received ceremonial treatment not normally accorded to visiting foreign leaders, even other visiting US presidents, demonstrating the importance China’s government attached to the visit.	On the revenue side, we saw Obama receive the kind of red-carpet treatment usually reserved for other foreign heads of state, even former US presidents, indicating the Chinese government’s extreme seriousness about the visit.	Lexical Error	"The model translation is ""On the revenue side, we saw Obama receive the kind of red-carpet treatment usually reserved for other foreign heads of state, even former US presidents, indicating the Chinese government's extreme seriousness about the visit."" The phrase ""revenue side"" is incorrect accounting terminology - the source uses ""positive side of the ledger"" as a metaphor for good things, not literally about revenue. The model also says the treatment is ""usually reserved for"" foreign leaders, when the source emphasizes it's ""not normally accorded to"" them, meaning Obama got exceptional treatment. The phrase ""extreme seriousness"" is also weaker than ""importance...attached."" The correct translation should be ""On the positive side of the ledger, Obama received ceremonial treatment not normally accorded to visiting foreign leaders, even other visiting US presidents, demonstrating the importance China's government attached to the visit."""
